ROM;Title;Type;Author
1941;1941;Non-Fighting;Whack
1944;1944;Non-Fighting;Anon - Y
19xx;19xx;Non-Fighting;Whack
2020bb;2020 super baseball;Non-Fighting;Whack
3countb;3 Count Bout/Fire Suplex;Non-Fighting;Whack
3wonders;Three Wonders;Non-Fighting;Whack
alpham2;Alpha Mission II/ASO II - Last Guardian;Non-Fighting;Whack
androdun;Andro Dunos;Non-Fighting;Anon - Y
aodk;Aggressors of Dark Kombat;Fighting;Anon - Y
aof;Art of Fighting;Fighting;t65will
aof2;Art of Fighting 2;Fighting;Anon - Y
aof3;Art of Fighting 3;Fighting;Anon - Y
armwar;Armored Warriors;Non-Fighting;Axe
asteroid;Asteroids;Mini Manual;Procyon
astdelux;Asteroids Deluxe;Mini Manual;Procyon
astdelux;Asteroids Deluxe;Mini Manual;Procyon
asurabld;Asura Blade - Sword of Dynasty;Fighting;Andre
avengrgs;Avengers in Galactic Storm;Fighting;Fabricio
batcir;Battle Circuit;Non-Fighting;Axe
berzerk;Berzerk;Mini Manual;Procyon
bloodstm;Bloodstorm;Fighting;DrDaMour
breakers;Breakers/Breakers Revenge;Fighting;t65will
breakers;Breakers/Breakers Revenge;Fighting;t65will
brival;Burning Rival;Fighting;Minoplis
centiped;Centipede;Mini Manual;Procyon
cybots;Cyberbots;Fighting;Procyon
daraku;Daraku Tenshi - The Fallen Angels;Fighting;Fabricio
dbz;Dragon Ball Z;Fighting;Minoplis
dbz2;Dragon Ball Z 2 - Super Battle;Fighting;Minoplis
ddragon;Double Dragon;Non-Fighting;Axe
ddragon2;Double Dragon 2: The Revenge;Non-Fighting;Axe
defender;Defender;Mini Manual;Procyon
digdug;Dig Dug;Mini Manual;Procyon
dkong;Donkey Kong;Mini Manual;Procyon
dkongjr;Donkey Kong Jr.;Mini Manual;Procyon
doubledr;Double Dragon (Neo Geo);Fighting;t65will
dstlk;Darkstalkers;Fighting;Procyon
fatfury;Fatal Fury;Fighting;Procyon
fatfury2;Fatal Fury 2;Fighting;Procyon
fatfury3;Fatal Fury 3;Fighting;Minoplis
fatfursp;Fatal Fury Special;Fighting;Procyon
fatfurwa;Fatal Fury: Wild Ambition;Fighting;Minoplis
ffight;Final Fight;Non-Fighting;Axe
fghthist;Fighter's History;Fighting;Minoplis
fightfev;Fight Fever;Fighting;Fabricio
frenzy;Frenzy;Mini Manual;Procyon
freveg;Final Fight Revenge;Fighting;Minoplis
galaga;Galaga;Mini Manual;Procyon
galaxian;Galaxian;Mini Manual;Procyon
galaxyfg;Galaxy Fight - Universal Warriors;Fighting;t65will
garou;Garou Mark of the Wolves;Fighting;Axe
gaxeduel;Golden Axe - The Duel;Fighting;Minoplis
gowcaizr;Voltage Fighter - Gowcaizer;Fighting;t65will
groovef;Power Instinct 3 - Groove on Fight;Fighting;Minoplis
holo;Holosseum;Fighting;Minoplis
invaders;Space Invaders;Mini Manual;Procyon
jojo;Jojo's Venture;Fighting;Minoplis
jojoba;Jojo's Bizarre Adventure;Fighting;Minoplis
jrpacman;Jr. Pac-Man;Mini Manual;Procyon
kabukikl;Kabuki Klash - Far East of Eden;Fighting;t65will
kaiserkn;Global Champion/Kaiser Knuckle;Fighting;Minoplis
karnovr;Karnov's Revenge / Fighter's History Dynamite;Fighting;t65will
kchamp;Karate Champ;Fighting;Axe
kinst;Killer Instinct;Fighting;Procyon
kinst2;Killer Instinct 2;Fighting;Procyon
kizuna;Kizuna Encounter - Super Tag Battle;Fighting;t65will
kof2000;The King of Fighters 2000;Fighting;Axe
kof2001;The King of Fighters 2001;Fighting;Axe
kof2002;The King of Fighters 2002;Fighting;Hanz0
kof2003;The King of Fighters 2003;Fighting;Fabricio
kof94;The King of Fighters 1994;Fighting;Minoplis
kof95;The King of Fighters 1995;Fighting;Minoplis
kof96;The King of Fighters 1996;Fighting;Minoplis
kof97;The King of Fighters 1997;Fighting;Minoplis
kof98;The King of Fighters 1998;Fighting;Axe
kof99;The King of Fighters 1999;Fighting;Axe
lastblad;The Last Blade;Fighting;Axe
lastbld2;The Last Blade 2;Fighting;Axe
mario;Mario Bros.;Mini Manual;Procyon
matrim;Power Instinct: Matrimelee;Fighting;Minoplis
milliped;Millipede;Mini Manual;Procyon
mk;Mortal Kombat;Fighting;DrDaMour
mk2;Mortal Kombat II;Fighting;DrDaMour
mk3;Mortal Kombat 3;Fighting;Minoplis
mk4;Mortal Kombat 4;Fighting;Minoplis
mspacman;Ms. Pac-Man;Mini Manual;Procyon
msh;Marvel Super Heroes;Fighting;Procyon
mshvsf;Marvel Super Heroes vs. Street Fighter;Fighting;Procyon
mtlchamp;Martial Champion;Fighting;Minoplis
mvsc;Marvel vs. Capcom;Fighting;Procyon
ninjamas;Ninja Master's - haoh-ninpo-cho;Fighting;t65will
nwarr;Night Warriors;Fighting;Procyon
plegends;Power Instinct Legends;Fighting;Fabricio
plsmaswd;Star Gladiator 2: Plasma Sword;Fighting;Procyon
powerins;Power Instinct - Gouketsuji Ichizoku;Fighting;Minoplis
primrage;Primal Rage;Fighting;Procyon
primrag2;Primal Rage II;Fighting;Minoplis
pwrinst2;Power Instinct 2 - Gouketsuji Ichizoku 2;Fighting;Minoplis
puckman;Pac-Man/Puckman;Non-Fighting;Axe
punisher;The Punisher;Non-Fighting;Axe
qbert;Q*Bert;Mini Manual;Procyon
ragnagrd;Ragnagard;Fighting;t65will
rbff1;Real Bout Fatal Fury;Fighting;t65will
rbff2;Real Bout Fatal Fury 2 - The Newcomers;Fighting;t65will
rbffspec;Real Bout Fatal Fury Special;Fighting;t65will
ringdest;Ring of Destruction: Slammasters II;Fighting;Fabricio
rotd;Rage of the Dragons;Fighting;Fabricio
rvschool;Rival Schools;Fighting;Procyon
samsho;Samurai Showdown;Fighting;t65will
samsho2;Samurai Showdown 2;Fighting;t65will
samsho3;Samurai Showdown 3;Fighting;Axe
samsho4;Samurai Showdown 4;Fighting;Axe
samsho64;Samurai Shodown 64;Fighting;Minoplis
savagere;Savage Reign;Fighting;t65will
schamp;Sonic Champion;Fighting;Minoplis
sdodgeb;Super Dodge Ball;Non-Fighting;Axe
sf;Street Fighter;Fighting;Minoplis
sf2;Street Fighter II;Fighting;Procyon
sf2ce;Street Fighter II Champion Edition;Fighting;Procyon
sf2t;Street Fighter II Turbo;Fighting;Procyon
sfa;Street Fighter Alpha;Fighting;Procyon
sfa2;Street Fighter Alpha 2;Fighting;Procyon
sfa3;Street Fighter Alpha 3;Fighting;Procyon
sfex;Street Fighter EX;Fighting;Procyon
sfexp;Street Fighter EX Plus;Fighting;Procyon
sfex2;Street Fighter EX 2;Fighting;Procyon
sfex2p;Street Fighter EX 2 Plus;Fighting;Procyon
sfiii;Street Fighter III;Fighting;Procyon
sfiii2;Street Fighter III 2nd Impact;Fighting;Procyon
sfiii3;Street Fighter III 3rd Strike;Fighting;Procyon
sftm;Street Fighter II: The Movie;Fighting;Minoplis
sgemf;Super Gem Fighter Mini-Mix;Fighting;Procyon
slammast;Saturday Night Slam Masters;Fighting;Fabricio
ssf2;Super Street Fighter II;Fighting;Procyon
ssf2t;Super Street Fighter II Turbo;Fighting;Procyon
stargate;Stargate;Mini Manual;Procyon
starglad;Star Gladiator;Fighting;Procyon
svc;SvC Chaos - SNK vs. Capcom;Fighting;Fabricio
superpac;Super Pac-Man;Mini Manual;Procyon
survarts;Survivor Arts;Fighting;Minoplis
tattass;Tattoo Assasins (Prototype);Fighting;Minoplis
tophuntr;Top Hunter;Non-Fighting;Andre
ts2;Battle Arena Toshinden 2;Fighting;Procyon
umk3;Ultimate Mortal Kombat 3;Fighting;Minoplis
vhunt;Vampire Hunter 2;Fighting;Procyon
vsav;Vampire Savior;Fighting;Procyon
vsav2;Vampire Savior 2;Fighting;Procyon
vf;Virtua Fighter;Fighting;Minoplis
vf2;Virtua Fighter 2;Fighting;Minoplis
wakuwak7;Waku Waku 7;Fighting;Minoplis
wargods;War Gods;Fighting;Minoplis
wh1;World Heroes;Fighting;t65will
wh2;World Heroes 2;Fighting;t65will
wh2j;World Heroes 2 Jet;Fighting;t65will
whp;World Heroes Perfect;Fighting;t65will
xmcota;X-Men: Children of the Atom;Fighting;Procyon
xmvsf;X-Men vs. Street Fighter;Fighting;Procyon
